route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,peak_flag,fare_id,wheelchair_accessible,bikes_allowed
100001,23446,800532280,"Kinnear Seattle Center W","",0,8023209,11001003,,101,1,1
100001,23446,800532540,"Kinnear Seattle Center W","",0,8023230,11001003,,101,1,1
100001,23446,800532600,"Kinnear Seattle Center W","",0,8023230,11001003,,101,1,1
100001,23446,800532610,"Kinnear Seattle Center W","",0,8023230,11001003,,101,1,1
100001,23446,800533070,"Kinnear Seattle Center W","",0,8023229,11001003,,101,1,1
100001,23446,800533080,"Kinnear Seattle Center W","",0,8023229,11001003,,101,1,1
100001,23446,800533090,"Kinnear Seattle Center W","",0,8023229,11001003,,101,1,1
100001,94024,562518400,"Kinnear Seattle Center W","",0,8023457,11001004,,101,1,1
100001,94024,562518420,"Downtown Seattle","",1,8023457,20001002,,101,1,1
100001,94024,562518430,"Kinnear Seattle Center W","",0,8023420,11001004,,101,1,1
100001,94024,562518460,"Kinnear Seattle Center W","",0,8023459,11001003,,101,1,1
100001,94024,562518490,"Kinnear Seattle Center W","",0,8023462,11001004,,101,1,1
100001,94024,562518500,"Kinnear Seattle Center W","",0,8023460,11001003,,101,1,1
100001,94024,562518510,"Downtown Seattle","",1,8023420,20001002,,101,1,1
100001,94024,562518550,"Downtown Seattle","",1,8023459,20001002,,101,1,1
100001,94024,562518600,"Downtown Seattle","",1,8023462,20001002,,101,1,1
100001,94024,562518610,"Downtown Seattle","",1,8023460,20001002,,101,1,1
100001,94024,562518670,"Downtown Seattle","",1,8023461,20001002,,101,1,1
100001,94024,562518700,"Downtown Seattle","",1,8023463,20001002,,101,1,1
100001,94024,562518730,"Downtown Seattle","",1,8023421,20001002,,101,1,1
100001,94024,562518750,"Downtown Seattle","",1,8023457,20001002,,101,1,1
100001,94024,562518820,"Downtown Seattle","",1,8023464,20001002,,101,1,1
100001,94024,562518840,"Downtown Seattle","",1,8023420,20001002,,101,1,1
100001,94024,562518890,"Downtown Seattle","",1,8023459,20001002,,101,1,1
100001,94024,562518940,"Downtown Seattle","",1,8023462,20001002,,101,1,1
100001,94024,562519010,"Downtown Seattle","",1,8023460,20001002,,101,1,1
100001,94024,562519020,"Downtown Seattle","",1,8023465,20001002,,101,1,1
100001,94024,562519060,"Downtown Seattle","",1,8023461,20001002,,101,1,1
100001,94024,562519080,"Downtown Seattle","",1,8023463,20001002,,101,1,1
100001,94024,562519120,"Downtown Seattle","",1,8023457,20001002,,101,1,1
100001,94024,562519150,"Downtown Seattle","",1,8023421,20001002,,101,1,1
100001,94024,562519230,"Downtown Seattle","",1,8023458,20001002,,101,1,1
100001,94024,562519250,"Downtown Seattle","",1,8023459,20001002,,101,1,1
100001,94024,562519280,"Downtown Seattle","",1,8023420,20001002,,101,1,1
100001,94024,562519330,"Downtown Seattle","",1,8023461,20001002,,101,1,1
100001,94024,562519370,"Downtown Seattle","",1,8023462,20001002,,101,1,1
100001,94024,562519420,"Downtown Seattle","",1,8023465,20001002,,101,1,1
100001,94024,562519460,"Downtown Seattle","",1,8023460,20001002,,101,1,1
100001,94024,562519510,"Downtown Seattle","",1,8023421,20001002,,101,1,1
100001,94024,562519520,"Downtown Seattle","",1,8023463,20001002,,101,1,1
100001,94024,562519590,"Downtown Seattle","",1,8023457,20001002,,101,1,1
100001,94024,562519640,"Downtown Seattle","",1,8023459,20001002,,101,1,1
100001,94024,562519680,"Downtown Seattle","",1,8023420,20001002,,101,1,1
100001,94024,562519700,"Downtown Seattle","",1,8023458,20001002,,101,1,1
100001,94024,562519770,"Downtown Seattle","",1,8023460,20001002,,101,1,1
100001,94024,562519800,"Downtown Seattle","",1,8023462,20001002,,101,1,1
100001,94024,562519820,"Downtown Seattle","",1,8023465,20001002,,101,1,1
100001,94024,562519850,"Downtown Seattle","",1,8023461,20001002,,101,1,1
100001,94024,562519880,"Downtown Seattle","",1,8023463,20001002,,101,1,1
100001,94024,562519910,"Kinnear Seattle Center W","",0,8023419,11001004,,101,1,1
100001,94024,562519980,"Downtown Seattle","",1,8023457,20001002,,101,1,1
100001,94024,562519990,"Downtown Seattle","",1,8023421,20001002,,101,1,1
100001,94024,562520030,"Downtown Seattle","",1,8023419,20001002,,101,1,1
100001,94024,562520130,"Downtown Seattle","",1,8023458,20001002,,101,1,1
100001,94024,562520140,"Downtown Seattle","",1,8023420,20001002,,101,1,1
100001,94024,562520180,"Downtown Seattle","",1,8023459,20001002,,101,1,1
100001,94024,562520200,"Downtown Seattle","",1,8023462,20001002,,101,1,1
100001,94024,562520220,"Downtown Seattle","",1,8023465,20001005,,101,1,1
100001,94024,562520250,"Downtown Seattle","",1,8023460,20001002,,101,1,1
100001,94024,562520270,"Downtown Seattle","",1,8023461,20001002,,101,1,1
100001,94024,562520360,"Downtown Seattle","",1,8023463,20001002,,101,1,1
100001,94024,562520370,"Downtown Seattle","",1,8023457,20001002,,101,1,1
100001,94024,562520430,"Downtown Seattle","",1,8023419,20001005,,101,1,1
100001,94024,562520440,"Downtown Seattle","",1,8023459,20001002,,101,1,1
100001,94024,562520450,"Downtown Seattle","",1,8023421,20001005,,101,1,1
